new_pos;length;label
-1.023537956897472,-0.6491945224528237,0.8372900066914325,1.348990005873711,0.9500358355739469,-1.7304506846949306,0.8473076279648293,0.5947611789198132,-1.0064324073550552,-0.1687690836234511;10;0.3
2.0714912795810774,0.8454106036647634,0.8154823037712238,-0.3874418590930244,0.7039644927540958,-0.7835405274947655,-0.7673963923565044,-0.8934819495840213,-0.3577316402875396,-1.2467563109553066;10;0.2
-1.0655501803979717,-0.3952003755885553,-0.040922948970076194,0.20357432852020002,0.22902929733330324,-0.160419316589643,-1.410456301263758,2.1131966809564107,1.2617215814004121,-0.734972765400322;10;0.05
1.8087192244336514,0.9260547075856235,0.14869786819577427,-0.8458051132173581,0.05771912642561179,0.9565135250410219,0.20242413361391756,-0.8200908459922053,-1.7362221377694806,-0.6980104883165588;10;1.7
2.5260726327969634,0.0472218891651439,-0.7226689631103012,0.42383133328919453,0.29420611185749573,0.10876700190276906,0.20644437253844733,-0.9865575273193352,-0.9308318961145555,-0.9664849550058223;10;0.85
-0.6173991885872595,0.10123224064232306,-1.577166423808627,-0.740843467875105,-0.8995005112452256,0.5043159036112825,-0.2153548173982664,0.215893221192651,1.2956679732591336,1.9331550702090932;10;1.15
0.6896669699589116,1.290217229239829,-0.16031580714817534,0.32318177931333536,-0.5382678415527726,-1.2910220352837802,-0.7729166890181841,1.9734808770215206,-0.49728243974372666,-1.0167420427869578;10;0.6
1.4246611115576608,-0.8281378458418079,-0.9813192463648216,1.3206948345541767,1.2796663643535366,-1.4478129152314716,-0.5161322531230914,-0.006660696296998304,-0.6455276978197882,0.40056834421260673;10;0.25
1.1008749940661557,1.5817334004872066,1.4288355246291045,0.06154022974961856,-1.5514475650924,-0.8647719790179246,-0.5699044872710223,-0.2959635752421459,-0.8174573644215714,-0.07343917788702088;10;0.05
-0.5165592229920681,-0.92683298503757,-1.5370061871852807,-0.774743665465914,-0.5408018288569008,-0.06241121439797121,0.6618747057745065,0.6448575412562737,1.2966289274475633,1.7549939294573613;10;1.85
0.8684651843915384,1.1927851922759394,0.7814980730665104,0.4699819131605307,-0.16693142065487526,0.13239708797228533,-0.05414493920421779,-0.06760867267791008,-0.5890429121935244,-2.567399506136277;10;1.45
1.7971322116174122,1.9538651337860167,-0.5428130656842015,-0.5905309312051198,-0.5301804661969164,-0.5990619670136299,0.05715135233626342,-0.18691940923223951,-0.08424700952024743,-1.2743958488873361;10;0.9
-1.1163523365299513,-0.2532036867745468,-0.09211594501238354,-0.9380965725212504,-0.34941796044507406,-1.286138216594137,0.5843254607949535,0.5546338823667918,0.6796225972436619,2.216742777471936;10;0.7
1.5666989036012806,1.2185435916898848,0.870388279778489,0.5222329678670934,0.174077655955698,-0.174077655955698,-0.5222329678670935,-0.8703882797784895,-1.218543591689885,-1.5666989036012806;10;1.5
-0.820237532783402,-1.4753323460978298,-0.49989393139897714,-1.3742507954413214,1.1677407476115906,0.9249622797159441,1.2573926224063707,0.8573796288576893,-0.506795813413642,0.4690351405435783;10;0.95
1.5102257820294929,0.9966345029659944,0.913979658728687,0.42471166640369934,-0.1410562355764719,0.4183337447423477,-0.2535896668000309,-0.9600461672784519,-1.8403425481414184,-1.0688507370738496;10;0.8
2.3008763522814837,0.8679209522984895,0.8754022237226192,0.20034945379802976,-0.8053422130814477,-0.8519222969270515,-0.8092184435897652,-0.7957959654145058,-0.4655259654742895,-0.5167440976135635;10;0.8
-1.1920110256561858,1.4178335633233807,1.585254003374841,0.5139979869782526,0.06120429184199081,0.6585676595804475,-1.5963327642827252,-0.3663367868560695,-0.7486237626023587,-0.33355316570157306;10;0.4
0.5572247394699488,0.45631703475441204,-0.7502981005585871,0.7007658342629297,0.9901434483019957,0.33307996213388646,1.0123353017145151,-2.2468249881067277,0.0689222624650508,-1.1216654944374242;10;0.25
-0.23570141933715624,-1.6846510313302352,-0.27016775188653913,1.0839239744887739,2.2007386057282194,-0.5023019741698129,0.2947650443081985,-0.7787482717079617,-0.23254042371335476,0.12468324761986818;10;0.35
-2.022326504207643,1.883951126534554,-0.03671785047656863,-0.45910994023459695,0.5234625507191452,1.0315925538303736,-0.20941906007170297,-0.8679463303051735,0.10235943061414825,0.054154023597462325;10;0.4
-1.7784542291947598,-1.4357091491757135,-0.8314394988288748,-0.45366587089776444,0.6453159604063621,1.0870441059168856,0.22161823354990035,0.6402376381077755,1.0117120227407586,0.8933407873754334;10;0.9
0.3213760198877961,-0.6186876660863664,-1.2973474536110063,-1.0811732855944562,-0.8631021282330733,-0.5446178277552672,0.40237509361695145,0.7306103215542611,0.9406231392832382,2.0099437869379226;10;2.0
1.1072747320057406,-0.7724936334197935,-1.1087590852353537,1.8510994863232193,-0.15350583279422073,-0.19576571312805724,-1.5236149385469373,0.08021856845913991,1.0194193163846903,-0.3038729000484268;10;1.55
-0.4219186779191311,-0.8901666636630879,0.13095485072813534,0.3242508305384184,2.101537830885265,-1.4563418136645734,-1.2109567958533796,0.7318057079556874,0.5997057498448797,0.09112898114778668;10;0.6
-1.476031848128166,-0.8809344896114366,-1.3115969239879017,-0.3568961203972537,1.2216551878257933,1.4467315262265146,1.0701576564792856,0.5027602440219986,0.20098652476756304,-0.41683175719639903;10;1.9
-0.9834105665977649,0.8072052153005095,0.45020907301114577,0.48460234038601796,-0.775161821898204,0.8138545390789721,-1.3349419355464134,1.3676877827650067,0.7433027309117949,-1.5733473574110628;10;0.3
1.9107603919286409,0.8495143755925503,-0.4112411822548462,-1.3722695388742814,-0.3345439827980899,0.4186932154049969,-1.444226461944355,-0.7283346906474185,0.39194688604089156,0.71970098755191;10;1.35
-0.8359168188284907,-1.194561871918049,-0.8621003691736312,-0.23836502399021084,-0.7200800582643101,0.5130915620572932,0.3752476116408066,-0.08573078407283351,0.658796992350724,2.3896187601987013;10;0.1
-1.4917874731990441,-0.9059327963320156,-0.6837045020017284,-0.8582094734779279,-0.3143928611303391,0.39327312230911177,0.22541550119983889,0.44583718185620125,1.3116148858516936,1.8778864149242067;10;1.7
-0.6567875635554028,-0.6425418643325937,-0.826087837943055,-0.05673779248983766,1.7042965478625864,-1.330789214594404,-0.7902031676832505,0.08595988071528249,1.3083219585269068,1.204569053493768;10;0.9
-0.10176866781435041,-0.06161770778251018,-1.1563929109252207,-1.0096888573679177,-0.6642944450842526,-0.4892348672926701,-0.06528510364245345,0.40608309699392586,0.6112513009051822,2.5309481620102674;10;1.5
1.0910135230530604,1.4066918110058968,0.8137786315333339,-1.8134257651000731,-0.09843785115977666,0.29836224069516865,0.463139115257569,-0.9929955060451299,-1.2543807906064568,0.08625459136640724;10;1.55
1.2280680486924564,-2.440879367341141,-0.9153909140470382,-0.029784577632502404,-0.14097110077058245,0.9882336337297627,0.5067289515220164,-0.09387494683266538,0.32650491138946086,0.5713653612902321;10;0.85
-0.03319640366704498,-0.7781888292695913,-1.1686079740237865,0.16450986054462227,1.2037521673474603,1.7483384269651536,0.6135896927902538,0.4048435159827993,-0.5151968118098765,-1.6398436448599905;10;2.0
0.3247460153045442,1.1147275320650902,-0.009575637492603813,0.24455268947202297,-0.13995739066993157,2.1193702202152487,-1.083852833134959,-0.4833555660457974,-0.5456968943844298,-1.5409581353291841;10;1.7
1.074620274577423,-0.6192265932835611,-0.28753068950425814,1.9968207892045402,0.7684921505570981,0.15800606730475575,-0.3413049402325306,-0.31152594967340236,-1.762278161010991,-0.6760729479390738;10;1.15
1.6292112630961826,1.092158382237074,0.9899871127802435,0.6447495014828649,0.0047088995248336625,-0.19637959568657037,-0.534640751574839,-1.2008809004063907,-1.3571631942175655,-1.0717507172358316;10;1.25
-0.029607954038834695,-0.6880789644421111,-0.8327361134752417,-1.2037480240779694,-0.1703203246202212,0.1325969842261671,-0.7061677047314131,0.05553116034419975,1.046967754937292,2.3955631858781326;10;1.1
0.03928690618737832,-0.42197873588099527,-0.056181296772881105,0.5594320835269617,1.8467765511064944,1.2711004506275898,0.14605776452106034,-0.5625052608659241,-1.1295378173706339,-1.6924506450790506;10;1.45
-0.7442505722733598,-1.7509924735181897,-0.8627347982963589,-0.48506107641528684,0.5174096525415296,1.287145163307037,1.3299396261915801,0.8722712613601483,0.6011686908552856,-0.7648954737523852;10;1.65
0.7585305166638819,1.2968454274615917,1.0882068310303987,0.13717460908793105,0.5641543906145027,0.7060191092708169,-0.6115243719932824,-1.459473886050974,-0.971619283610245,-1.5083133424746211;10;1.0
-2.835093170285856,0.07438350360840211,0.26773835766883874,0.6082969798351517,0.17128347495877141,-0.027042734303553254,0.590444706254869,1.0496357436056398,-0.07135512706120792,0.17170826571894282;10;0.75
1.5855548102367043,0.984310666465416,1.3944649382210412,0.40988589005865383,-0.6690502056701849,-1.4600657063263522,-0.9013491026258542,0.03249616385284065,-0.5082977400510994,-0.8679497141611637;10;0.35
1.3060272729769289,0.4278965572800821,0.3062328087070325,-1.861740160904102,-0.5749505765568461,0.0197032173834533,1.6422211094942114,-0.21131099366765327,-1.2064886336036396,0.15240939889053395;10;0.3
-0.6546933431207025,0.9208970681061875,1.1825455799018103,-1.1638386643631902,-0.02515751835930793,-1.2365336077383806,-1.1203807474580165,1.5380638739317738,0.8555495646940107,-0.2964522055941856;10;0.65
-2.2654625301029134,-0.09458776433114383,1.1557953286819775,0.12372260881523066,-0.8401035382698262,-0.5018771584968156,1.168207922597248,1.0422195124742593,0.30160162291535225,-0.08951600428336491;10;0.3
-2.1324466953731935,-1.4331574010258217,-0.3837879053220317,-0.26508810916761893,0.8417995086099896,0.6623270249634426,0.8501978046906999,0.7273584985635032,0.831314725723602,0.30148254833743027;10;0.4
0.31884063234545507,0.10843337133123006,1.9203449643862218,0.047024207438732056,0.6948410581659641,-0.10550435678127351,-0.027126567282288874,0.026628450709725335,-0.7009549105976978,-2.282526849716068;10;0.25
1.7738520094261077,0.8617559787766569,0.884829365072549,0.6072860451612481,0.19718945945574004,-0.7182532758875354,-0.11676196262397931,-1.5894688177870997,-1.1212050305328112,-0.7792237710608796;10;1.2
0.536511672436561,0.03633648126183578,-1.2045191831771045,0.10496017301692841,1.0910241138309487,0.7648608722691617,1.436102529664362,-0.34984548630942314,-0.3795640912117373,-2.0358670817815323;10;1.65
0.2506705517012653,-0.50640534402795,-1.7101095137263356,0.1436253737113278,0.4957278489704734,2.3090963657885024,0.3408942361594552,-0.6755700888674441,-0.7572272681842084,0.1092978384749137;10;0.4
0.10046500354404003,-0.5517415792846968,0.13169366829297943,1.0256871315737586,-0.34631024403302235,-2.3857033394726863,-0.42292120217285617,0.1939882380016008,1.2789941767633457,0.9758481467875381;10;0.75
-0.2074031037034964,-1.370696228902196,1.4486246977647848,1.505776764566699,-0.6641406983358368,0.5145926175905258,-0.23652187930123178,-1.652541790991519,0.3422499469026723,0.3200596744095977;10;0.6
-0.07414984954116322,1.5553068751366081,0.9278153975155832,0.5200029152768164,0.81010482682264,0.4342218408460917,-0.2771186743159698,-0.7589065220273091,-1.455783002946337,-1.68149380676696;10;1.45
-0.3283008158557778,-0.4709418767850982,-0.9186773406862018,2.0898749561869088,0.9789062131113578,1.0751068173753968,-0.04533464808842581,-1.141005383948239,-0.2507017262233176,-0.9889261950866022;10;1.3
1.8379080047422425,1.27897976716447,0.4652152287214777,-0.351055351311668,-0.8612169920781628,-0.09024837671686171,0.5037785348079689,-0.1863482447419274,-0.9549624385444294,-1.6420501320431111;10;1.05
-1.8887846168574198,-0.8616654239550805,-1.078081062721479,-0.30271633461873,0.3515163710188819,1.0184316520097474,-0.02852469358545218,0.4032742793214789,0.8298820310630018,1.556667798325052;10;1.35
0.0072663627559323984,-0.8005248459981481,-1.4231326818677028,2.172284989640659,0.4252227230857829,0.3068283946939921,-0.2573070914234034,0.5826601368935259,0.33624312733077144,-1.3495411151114098;10;0.9
2.034553254257337,1.101236097857535,-0.9311533236335888,-0.9172159277605282,0.656442244934403,-0.9676003312615022,-0.5263963729436775,0.7257749487726928,-0.7846271848779238,-0.3910134053447486;10;1.0
1.562568746255156,1.2325296104200063,0.8616582811644267,0.5269783840386768,0.1722044752617309,-0.18074229993542681,-0.5250512915177129,-0.8686095247329555,-1.220279749272215,-1.561256631681686;10;1.65
-0.8202260018373212,-1.2145862340969302,-1.0374136590167278,-0.07502691233347114,0.2612473814522231,0.04675160386835853,0.10838332691603665,-0.16441885943961096,2.5588572607727587,0.3364320937146838;10;0.35
-1.6422372552831233,-1.1790296158836777,-1.478690454462275,0.8832771566223546,0.25759423496536304,-0.06675725169830146,0.9262994003157221,0.8664915096361089,0.37027975286451537,1.0627725229233123;10;0.55
-1.5618432597093492,-0.8611929469748243,-0.21492637394558622,-1.1760112020938491,-0.4806046661262593,0.02579596298960931,0.955582365714167,1.595798918486062,1.193144228417649,0.5242569732423825;10;1.75
1.8015488389976382,1.3698710288847191,0.8153853158871863,0.4371746285887134,-0.18129228578551818,-0.5578977075145869,-1.1589075820929746,-0.6131741029248899,-1.2108222019651935,-0.7018859320750921;10;1.65
0.6502372443934897,0.7403508792787422,1.5354696410817723,0.8373656969459381,0.4916795073141025,-2.0116167392211737,-0.8607405317664029,-0.4316900653238978,-0.08669035336113072,-0.8643652793414404;10;0.15
-0.04908842249873998,0.1862821259434342,0.0674522065182601,1.6572427234273017,1.5650044720170282,-0.49458074268688357,-0.5156432516715267,0.305546587690138,-0.8848930302649275,-1.8373226684740849;10;1.5
0.7724790285131075,-0.9560659655866576,2.2401199992093153,-0.7133965803191299,-1.3126758090777575,-0.3938044084376535,-0.18602437020407656,-0.39397257606756647,0.9455779049201517,-0.00223722294973452;10;1.1
0.15216732035886593,-0.39312426550717333,-1.6322408105208184,-1.5706694027738954,-0.6408144694501847,0.39763495430852674,0.335360573623492,0.7207811725486546,1.4369157491392688,1.1939891782732637;10;0.75
1.559756126707931,1.2527276055831198,0.8469425133915238,0.5630512047968785,0.2220641130114581,-0.309870135824738,-0.5346720017612184,-0.8376092026004779,-1.2937282002575798,-1.468662023046898;10;1.15
-0.2539043189930022,0.4481302898664936,-0.432060797917264,-0.43665297369765815,2.2945144322258653,-0.3059915019631813,0.01811925375415644,0.5278291617125201,-1.9275490098179218,0.06756546482999208;10;0.95
-1.6632250302797658,1.0648381460350784,-0.15070542506942863,0.27945170792744034,0.816791806015712,1.2729915279797859,-1.7713044437350756,-0.5596475809032839,0.2921955387456315,0.41861375328390427;10;0.2
-0.8759881129352668,-1.1842371052469902,-0.5682169490610899,-1.415809607580312,-0.29404207071187227,0.4806799977181263,0.2700828600332531,0.7755368717988612,0.8781389738879988,1.9338551420972916;10;1.75
1.6094675258910238,1.3057611534870073,0.7918901484323732,0.11384858890492779,-0.4261085684513314,0.3968333479560995,-0.2756532942015336,-0.7410202383213769,-1.0339238807416233,-1.7410947829555639;10;1.8
-0.1171950827594729,-1.3706204841227068,-1.4918997763363397,-0.4765589453026684,-0.46728540157184006,-0.3967056831531883,0.8327476140038866,1.4592510453189151,1.460924835860576,0.567341878062839;10;0.8
1.193061435945934,1.1249860284492574,0.8105921785580721,0.029137619061621985,0.17440431646894902,0.6090811622455701,0.055014038002709646,-0.6610429201235679,-2.0210350279040665,-1.3141988307044816;10;1.45
-0.0489327171258378,0.043562600134340455,1.3893286376537324,-1.6201796978062122,-1.0585859000354938,0.4931837772931965,-1.3504987119903185,0.0819641576782866,1.2623624083026759,0.8077954458956306;10;1.5
-0.9712713366580563,0.05330226869528455,-2.3739264513299827,-0.7592155917501792,0.5700658553983967,0.7544632035395995,0.8547911082060672,0.6658073676992567,0.45051152693634144,0.755472049263272;10;0.5
-1.5666989036012808,-1.218543591689885,-0.8703882797784893,-0.5222329678670933,-0.17407765595569752,0.17407765595569805,0.5222329678670936,0.8703882797784891,1.2185435916898848,1.5666989036012802;10;1.75
-0.1687450462301859,-0.5492015496262187,-1.7388812362020738,0.4578121289921997,0.6083525672664796,-0.1681354182290702,2.1125330650899268,-1.166921693189591,0.19314965351786623,0.42003752861066745;10;1.05
1.3042002725110817,1.1124260874787895,1.1205895915360384,0.7657843258270545,0.1265016992805268,-0.1859070149866381,-0.4709109044533167,-0.9087279794105477,-1.3314960595032164,-1.5324600182797714;10;1.4
-2.252931141462916,0.6517209029612879,0.3372629462595382,-1.3414689979547718,0.09183292448523193,0.51740218242964,-0.25588765374016614,0.14770929945158184,0.9863147381894575,1.1180447993811133;10;0.25
-1.345706079143563,-1.2236545821918168,-0.9680910054267597,-0.37938162136587056,-0.212126062021657,0.44711758272437857,0.5964123181709161,0.16947927159488616,0.8538688036505531,2.062081374008932;10;1.6
-2.083057418571052,-1.5435635407679913,-0.505596037892617,0.4813069189966211,0.6003001115558407,1.0804978196213821,0.4114232877963489,0.09008214628600494,0.6735696464014543,0.7950370665740097;10;1.4
-0.8815877335610948,-0.8574024263233804,-0.7892898067032178,0.27503246301143236,-1.2513188600686713,0.9183070329300878,0.708977158907985,-0.6881684938776615,2.028702259278853,0.5367484064056673;10;2.0
2.2122634578087195,0.5673083588310428,-0.08152984823634854,0.1161675054083078,-0.2904719654145723,-0.1612709531149512,0.19207740311409327,-0.2040006450267627,-0.2233025382789938,-2.1272407750905313;10;1.0
0.9078697582453641,-0.041856668883293285,0.7067383772929825,1.411107105276532,0.8855192112223779,-1.8883244714737681,-0.6083971090381608,0.08922616432973245,-0.06507852358378421,-1.3968038433879844;10;0.3
0.6641281398423083,0.9987887757866964,2.224811009820378,-0.34904875499158716,-0.9738410946262583,-1.2587447254313209,-0.9195325593180949,0.0576772612266957,-0.2906407504491803,-0.15359730185963563;10;0.1
1.0356082738857901,1.4030526023949237,1.0447867560093111,0.6682301429613346,0.24512726400839824,-0.11559528253115686,-0.4934192916053649,-0.85135660193743,-1.2840895488508328,-1.6523443143349736;10;1.25
0.22509904403662867,1.7769500789710984,0.5317490579593788,-1.9755644075668013,-0.2126178078459533,-1.2151315409718542,0.32081366469102923,0.4163537012852649,-0.5660387620250518,0.6983869714662603;10;0.4
0.6702828809951975,1.256499816776833,0.6786310308843201,1.4191726530974291,0.5636242223884493,-0.771383665123338,-0.2970086197531005,-1.30859056883309,-1.5174666841392521,-0.6937610662934489;10;0.1
-1.8405181130644488,-1.5649531921429056,0.3603072396529935,0.05482577133653101,-0.0008761080759575731,-0.3629014732403548,0.2128578803446593,0.6297733111112792,1.6450934709038034,0.8663912131744027;10;0.6
1.225996382454585,0.9902667420001654,-0.5097616663593479,1.6866566064920372,0.39387659394658436,-1.5156270623175208,-1.1138124052609386,-0.7667981624373486,-0.3604051309688118,-0.03039189754940636;10;0.85
-2.2815475425904768,-1.2380586574096766,-0.5520765320245664,0.5283615583458228,0.18410460760041203,0.9874699619069849,0.720277034326221,0.6406955139985085,0.8435318653319055,0.16724219051486452;10;0.15
1.5666989036012804,1.2185435916898846,0.8703882797784888,0.5222329678670932,0.1740776559556978,-0.1740776559556978,-0.5222329678670934,-0.8703882797784891,-1.218543591689885,-1.5666989036012806;10;1.6
1.1708307484214233,-2.3084380848353847,0.11691937924709254,-0.547020465115956,-0.5276918831855208,0.8413392655130739,1.065415856602794,-0.3259436351845446,-0.3027528772884663,0.8173416958254874;10;0.05
-1.79159920768393,0.04907649379981462,-0.7064741338270646,-0.8798701059719501,1.3796489095293616,0.8333786914086408,1.0007454700395846,-0.6908184841989234,-0.3430553678299442,1.1489677347344098;10;1.7
-0.3406937879281433,-1.5626735144518258,0.6375669312341339,1.9041768557583545,1.3188973045712495,-0.31949893159556253,-0.6302403182744986,-1.0804558664476596,0.016687261008703564,0.056234066125248165;10;0.15
1.269188417384066,0.8306229140594632,1.078761792211427,0.7164908174882364,0.42658924283581784,0.06277956663861935,-0.5980697479020247,-0.6397681185507063,-1.3296786492411534,-1.816916234923744;10;1.5
0.32939845785649446,-1.3393290261910549,-1.3393696582118177,0.5566022813696306,1.202222641697202,-0.9363175153918303,0.05881903568088093,1.572785179954158,0.718743395202866,-0.823554791966529;10;0.6
0.031601701050633375,-0.0026886418489909477,-0.109861347415148,0.45121922757258837,0.6978711276537487,0.9702748643373591,0.8963271283215959,0.7490787374632148,-1.5216990492580529,-2.162123747876948;10;0.9
1.8297035802651351,-1.0632878295056718,1.5890067748261265,-0.09488421978892074,-0.22280032984554465,-1.0241130295383847,-0.7498218163171148,0.15776442306246086,0.5680707668965144,-0.9896383200545987;10;0.85
0.022650564469826124,-1.5542363745445031,1.0550309954588504,-1.1550600073797612,-0.19529537703429467,-0.7364799234385732,-0.3627214626254905,1.8888304323550642,0.11938132258035765,0.9178998301585245;10;1.0
1.0095861921309655,0.783854783838427,1.3495556547674823,0.7623270602716882,0.3081729072187702,-0.7122148296635428,0.21741415815545123,-0.5557162537098058,-1.6223200048809907,-1.5406596681284443;10;1.1
-1.4920739271751722,-0.8842725781291948,-0.5323322292083307,-0.531314816897556,-0.276366840063523,-0.12150175220972712,0.0020143942979581795,0.4895749202789763,1.1748872416145388,2.1713855874920305;10;1.95
1.5337523881312622,0.7413533569829847,0.7340592772335734,0.2902582776957576,-0.47359809315296536,-0.8228947743346305,-1.9536478709946572,1.0353881094816444,-0.32275484361199946,-0.7619158274309701;10;1.85
1.5760954126144564,1.261667590610684,0.8812243014236836,0.6121067296406165,0.18302920675297243,-0.2971142337169755,-0.6945228064609485,-1.0665003467933865,-1.1402646854540213,-1.3157211686170807;10;1.95
-1.5666989036012806,-1.218543591689885,-0.8703882797784891,-0.5222329678670935,-0.17407765595569763,0.17407765595569813,0.5222329678670938,0.8703882797784896,1.2185435916898848,1.5666989036012806;10;2.0
0.9277805846640471,-0.1636107270858944,1.6279225835066442,0.4458350173854454,-0.31240602984697313,0.06011424578621867,0.45056709212754326,0.06247382119087364,-0.789558494993034,-2.3091180927348693;10;1.0
0.9990191610311332,-0.5333386996952083,0.10528467051407626,-1.9869109700452938,0.6633123810227881,1.5570477740084163,-0.1759456235387352,-0.6904138094729785,-0.8010979640865603,0.8630430802623624;10;1.2
-2.7114518868916293,0.6787930332615197,-0.1018514520336596,0.42591654866916284,-0.12721942764421942,0.47201565847872773,0.2400908109305107,-0.40705992150371834,0.3402116656892722,1.1905549710440309;10;0.2
-1.2299250026295017,-1.4692082465466783,-1.3090012921202723,1.1723465477105641,0.2929463974062493,0.5006863458125725,1.6411004238696145,0.04867995106809741,0.4469844387784272,-0.09460956334907215;10;0.4
2.761425856954965,0.3336185359976015,0.08609854612016933,-0.4363132039811339,-0.7756595826877742,-0.7934155490967223,-0.35843975570484127,-0.8390967559638044,0.03816791789173786,-0.016386009530197903;10;0.5
